Station,Parameter,Start,End,Decision,Refill Method,Reason,Notes
CB15,SWC_5,2014-09-30 11:00:00,2024-02-26 11:00:00,mask_and_refill,auto,manual_review_bad_sensor,"Manual notebook review: SWC_5 is dominated by near-zero values for most years with isolated implausible jumps; treat as a bad sensor similar to WC05."
CB19,SWC_5,2019-07-01 00:00:00,2022-10-31 23:00:00,mask_and_refill,auto,manual_review_low_confidence_imputation,"Manual notebook review: imputed segment is strongly depressed toward zero while preserving some temporal shape; low-confidence final fill."
CB19,SWC_10,2019-07-01 00:00:00,2022-10-31 23:00:00,mask_and_refill,auto,manual_review_low_confidence_imputation,"Manual notebook review: imputed segment is depressed toward zero relative to other depths; low-confidence final fill."
CB20,SWC_5,2017-01-01 00:00:00,2022-11-30 23:00:00,mask_and_refill,auto,manual_review_low_confidence_imputation,"Manual notebook review: long period near zero with many exact-zero values and unusually noisy July-November 2019 behavior; low-confidence final fill."
CB20,SWC_50,2017-01-15 22:00:00,2023-03-22 15:00:00,mask_and_refill,donor_mean,manual_review_low_confidence_imputation,"Manual notebook review: very-long imputed segment from CB27 donor is unusually flat/low in 2021-10 to 2022-08 and has a suspicious dip around 2019-11-19. Refill with donor mean because the automatic linear donor refilled the same flat artifact."
CB15,T_10,2019-12-03 13:00:00,2019-12-03 13:00:00,mask_and_refill,auto,final_qc_isolated_model_jump,"Final soil-QC review: the imputed T_10 value drops from about 10.9 C to 1.1 C and returns to 11.8 C one hour later without a matching change at other depths; mask and refill the isolated model artifact."
WC05,SWC_50,2021-08-12 12:00:00,2023-06-12 00:00:00,mask_and_refill,auto,interval_review_confirmed_sensor_freeze,"Human-approved interval mask: continuous 0.002 sensor freeze while precipitation and other soil sensors continued to vary."
FD22,SWC_50,2021-08-04 10:00:00,2022-11-21 03:00:00,mask_and_refill,auto,interval_review_confirmed_sensor_freeze,"Human-approved interval mask: continuous 0.003 sensor freeze while independent hydrologic signals continued to vary."
FD22,SWC_5,2023-11-05 09:00:00,2023-11-05 09:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 11:00:00,2023-11-05 11:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 12:00:00,2023-11-05 12:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 14:00:00,2023-11-05 14:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 16:00:00,2023-11-05 16:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 18:00:00,2023-11-05 18:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 19:00:00,2023-11-05 19:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 21:00:00,2023-11-05 21:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-05 23:00:00,2023-11-05 23:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-06 00:00:00,2023-11-06 00:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-06 01:00:00,2023-11-06 01:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-06 02:00:00,2023-11-06 02:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-07 16:00:00,2023-11-07 16:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-07 22:00:00,2023-11-07 22:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-08 01:00:00,2023-11-08 01:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-08 10:00:00,2023-11-08 10:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-08 19:00:00,2023-11-08 19:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD22,SWC_5,2023-11-09 08:00:00,2023-11-09 08:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: reviewed isolated scale jump with immediate return toward the near-zero baseline."
FD16,SWC_5,2021-10-08 10:00:00,2021-10-08 10:00:00,mask_and_refill,auto,interval_review_confirmed_isolated_spike,"Human-approved point mask: isolated high value without rainfall or a matching response at other depths."
FD16,SWC_5,2021-10-10 23:00:00,2021-10-10 23:00:00,mask_and_refill,auto,interval_review_confirmed_nonpersistent_spike,"Human-approved point mask: despite coincident rainfall, the consecutive valid SWC_5 sequence is approximately 0.009 to 0.442 to 0.002 and does not show a persistent response."
FD08,SWC_5,2022-07-15 23:00:00,2022-07-15 23:00:00,mask_and_refill,auto,interval_review_confirmed_scale_jump,"Human-approved point mask: isolated scale jump followed by immediate return to the near-zero baseline."
FD08,SWC_5,2022-08-20 02:00:00,2022-08-20 02:00:00,mask_and_refill,auto,interval_review_confirmed_scale_jump,"Human-approved point mask: isolated scale jump followed by immediate return to the near-zero baseline."
FD08,SWC_5,2022-08-20 18:00:00,2022-08-20 18:00:00,mask_and_refill,auto,interval_review_confirmed_scale_jump,"Human-approved point mask: isolated scale jump followed by immediate return to the near-zero baseline."
